                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7665,                 7.0405,                 1.8899,                      0,                      0,                      0,                      0,                 3.2918,                 8.2984,                 1.8042,              0.0004072,              0.0004072,              0.0004072
                      2,                 3.7149,                 4.0886,                   1.85,                0.02567,                0.13712,                0.07556,                0.02681,                 3.2193,                 6.2136,                 1.8167,             0.00081027,             0.00081027,             0.00081027
                      3,                 3.7137,                 3.6537,                 1.8372,                0.88828,                0.13454,                0.13534,                0.05512,                 3.2841,                 3.8161,                 1.8332,              0.0011996,              0.0011996,              0.0011996
                      4,                 3.5124,                 3.4505,                  1.818,                0.88417,                 0.1562,                0.16702,                0.08824,                  2.963,                 3.2556,                 1.7783,              0.0011881,              0.0011881,              0.0011881
                      5,                 3.2957,                 3.2581,                 1.7922,                0.68854,                 0.1888,                 0.1806,                 0.1071,                 2.7251,                 3.1374,                 1.7504,              0.0011675,              0.0011675,              0.0011675
                      6,                 3.2913,                 3.0609,                 1.7833,                0.66053,                0.18184,                0.19418,                0.11398,                 2.7408,                 3.0033,                  1.758,              0.0011469,              0.0011469,              0.0011469
                      7,                 3.1635,                 2.9656,                 1.7761,                0.91586,                0.17985,                0.20051,                0.11882,                 2.6715,                 2.8935,                 1.7348,              0.0011263,              0.0011263,              0.0011263
                      8,                 3.1831,                  2.875,                  1.757,                0.92723,                0.18362,                0.22194,                0.13418,                 2.6411,                 2.5747,                 1.7397,              0.0011056,              0.0011056,              0.0011056
                      9,                 3.1484,                 2.7437,                 1.7434,                0.94369,                0.17978,                0.23424,                0.13638,                 2.8134,                 2.5364,                  1.738,               0.001085,               0.001085,               0.001085
                     10,                 3.0523,                  2.641,                 1.7481,                0.74815,                 0.2542,                0.26216,                0.15666,                 2.5796,                 2.3842,                 1.7204,              0.0010644,              0.0010644,              0.0010644
                     11,                 2.9945,                 2.5654,                  1.747,                0.46739,                0.27005,                0.26818,                0.16415,                 2.5745,                 2.2634,                 1.7058,              0.0010438,              0.0010438,              0.0010438
                     12,                 3.1562,                 2.5669,                 1.7349,                0.47317,                0.28583,                0.27912,                0.16808,                 2.7358,                 2.2036,                 1.7195,              0.0010231,              0.0010231,              0.0010231
                     13,                 3.0604,                 2.4748,                 1.7294,                0.76574,                0.28935,                0.29216,                  0.181,                 2.4722,                 2.0587,                  1.699,              0.0010025,              0.0010025,              0.0010025
